cycle,encoder_error_cw,encoder_error_ccw
3305,16775015.0,16775009.0
3306,16775011.0,16775010.0
3307,16775010.0,16775011.0
3308,16775016.0,16775020.0
3309,16775021.0,16775018.0
3310,16775017.0,16775021.0
3311,16775024.0,16775025.0
3312,16775021.0,16775019.0
3313,16775022.0,16775025.0
3314,16775021.0,16775019.0
3315,16775027.0,16775031.0
3316,16775030.0,16775031.0
3317,16775031.0,16775032.0
3318,16775031.0,16775032.0
3319,16775029.0,16775024.0
3320,16775017.0,16775018.0
3321,16775021.0,16775018.0
3322,16775015.0,16775019.0
3323,16775023.0,16775018.0
3324,16775018.0,16775018.0
3325,16775016.0,16775021.0
3326,16775022.0,16775025.0
3327,16775022.0,16775029.0
3328,16775032.0,16775032.0
3329,16775031.0,16775034.0
3330,16775032.0,16775031.0
3331,16775031.0,16775035.0
3332,16775036.0,16775036.0
3333,16775035.0,16775035.0
3334,16775030.0,16775032.0
3335,16775032.0,16775032.0
3336,16775031.0,16775034.0
3337,16775035.0,16775037.0
3338,16775036.0,16775032.0
3339,16775032.0,16775032.0
3340,16775033.0,16775032.0
3341,16775030.0,16775031.0
3342,16775032.0,16775033.0
3343,16775032.0,16775032.0
3344,16775030.0,16775031.0
3345,16775032.0,16775031.0
3346,16775030.0,16775031.0
3347,16775031.0,16775031.0
3348,16775031.0,16775034.0
3349,16775032.0,16775031.0
3350,16775030.0,16775032.0
3351,16775033.0,16775031.0
3352,16775033.0,16775036.0
3353,16775036.0,16775034.0
3354,16775030.0,16775032.0
3355,16775030.0,16775032.0
3356,16775033.0,16775031.0
3357,16775031.0,16775034.0
3358,16775032.0,16775032.0
3359,16775030.0,16775034.0
3360,16775031.0,16775033.0
3361,16775030.0,16775033.0
3362,16775035.0,16775036.0
3363,16775038.0,16775036.0
3364,16775036.0,16775037.0
3365,16775036.0,16775036.0
3366,16775036.0,16775036.0
3367,16775038.0,16775036.0
3368,16775036.0,16775035.0
3369,16775039.0,16775035.0
3370,16775038.0,16775036.0
3371,16775038.0,16775035.0
3372,16775035.0,16775031.0
3373,16775030.0,16775031.0
3374,16775029.0,16775030.0
3375,16775029.0,16775034.0
3376,16775036.0,16775036.0
3377,16775036.0,16775036.0
3378,16775037.0,16775037.0
3379,16775037.0,16775036.0
3380,16775036.0,16775037.0
3381,16775038.0,16775036.0
3382,16775042.0,16775037.0
3383,16775043.0,16775037.0
3384,16775038.0,16775036.0
3385,16775038.0,16775036.0
3386,16775038.0,16775036.0
3387,16775032.0,16775031.0
3388,16775032.0,16775031.0
3389,16775032.0,16775034.0
3390,16775032.0,16775035.0
3391,16775035.0,16775035.0
3392,16775037.0,16775035.0
3393,16775036.0,16775033.0
3394,16775029.0,16775025.0
3395,16775023.0,16775025.0
3396,16775030.0,16775030.0
3397,16775031.0,16775031.0
3398,16775032.0,16775033.0
3399,16775035.0,16775034.0
3400,16775030.0,16775032.0
3401,16775030.0,16775033.0
3402,16775029.0,16775033.0
3403,16775035.0,16775036.0
3404,16775034.0,16775032.0
3405,16775029.0,16775031.0
3406,16775034.0,16775035.0
3407,16775036.0,16775038.0
3408,16775038.0,16775033.0
3409,16775036.0,16775034.0
3410,16775029.0,16775026.0
3411,16775022.0,16775018.0
3412,16775022.0,16775019.0
3413,16775015.0,16775021.0
3414,16775027.0,16775028.0
3415,16775022.0,16775025.0
3416,16775029.0,16775031.0
3417,16775032.0,16775033.0
3418,16775030.0,16775034.0
3419,16775030.0,16775032.0
3420,16775032.0,16775035.0
3421,16775030.0,16775035.0
3422,16775032.0,16775031.0
3423,16775030.0,16775031.0
3424,16775032.0,16775032.0
