step,timestamp,encoder,SIN_P,COS_P,SIN_N,COS_N,cycle,direction,theta,alpha,angle_error
31,2025-04-16 14:45:40,625,9805,10657,16560,15678,8,CW,174.393,174.35671183165482,-0.03628816834518034
32,2025-04-16 14:45:40,621,10086,10329,16283,16011,8,CW,179.982,180.03641008324473,0.05441008324473273
33,2025-04-16 14:45:40,631,10398,10016,15973,16319,8,CW,185.661,185.8099975902693,0.14899759026928905
34,2025-04-16 14:45:41,614,10727,9749,15643,16593,8,CW,191.187,191.41320409897162,0.22620409897160698
35,2025-04-16 14:45:41,631,11091,9505,15283,16842,8,CW,196.866,197.17303486814103,0.30703486814101666
36,2025-04-16 14:45:41,621,11462,9301,14914,17047,8,CW,202.455,202.73622689634703,0.2812268963470217
37,2025-04-16 14:45:41,624,11852,9134,14528,17219,8,CW,208.07100000000003,208.31259866171217,0.24159866171214617
38,2025-04-16 14:45:42,607,12242,9010,14138,17348,8,CW,213.53400000000002,213.7204674840557,0.18646748405566882
39,2025-04-16 14:45:42,620,12653,8923,13732,17439,8,CW,219.11400000000003,219.24745573545363,0.13345573545359457
40,2025-04-16 14:45:42,625,13066,8880,13320,17491,8,CW,224.73900000000003,224.75233948766356,0.013339487663529326
41,2025-04-16 14:45:43,623,13480,8879,12910,17497,8,CW,230.34600000000003,230.2350768143194,-0.1109231856806332
42,2025-04-16 14:45:43,629,13896,8920,12493,17461,8,CW,236.00700000000003,235.82422925095818,-0.18277074904185042
43,2025-04-16 14:45:43,615,14295,9002,12094,17382,8,CW,241.54200000000003,241.28796318342322,-0.2540368165768143
44,2025-04-16 14:45:43,626,14691,9127,11702,17262,8,CW,247.17600000000002,246.85287720559106,-0.32312279440895963
45,2025-04-16 14:45:44,624,15076,9293,11320,17106,8,CW,252.79200000000003,252.48745844297932,-0.3045415570207126
46,2025-04-16 14:45:44,612,15434,9486,10958,16910,8,CW,258.3,258.0507247268201,-0.2492752731799328
47,2025-04-16 14:45:44,619,15779,9719,10615,16682,8,CW,263.87100000000004,263.69587622748185,-0.1751237725181909
48,2025-04-16 14:45:45,621,16101,9990,10291,16419,8,CW,269.46000000000004,269.4189589976296,-0.0410410023704344
49,2025-04-16 14:45:45,629,16405,10291,9989,16118,8,CW,275.12100000000004,275.25453538472254,0.13353538472250648
50,2025-04-16 14:45:45,625,16675,10616,9721,15797,8,CW,280.74600000000004,280.99038198020537,0.24438198020533264
51,2025-04-16 14:45:46,634,16914,10973,9480,15445,8,CW,286.45200000000006,286.8168621021197,0.3648621021196732
52,2025-04-16 14:45:46,617,17112,11336,9278,15079,8,CW,292.00500000000005,292.45366901369414,0.4486690136940865
53,2025-04-16 14:45:46,627,17273,11724,9115,14693,8,CW,297.648,298.11621773953135,0.46821773953132606
54,2025-04-16 14:45:46,615,17392,12117,8989,14297,8,CW,303.18300000000005,303.66481383474235,0.48181383474229733
55,2025-04-16 14:45:47,628,17476,12531,8908,13887,8,CW,308.83500000000004,309.28013256666844,0.4451325666684056
56,2025-04-16 14:45:47,628,17511,12951,8867,13467,8,CW,314.487,314.8893695460136,0.4023695460135741
57,2025-04-16 14:45:47,623,17507,13362,8874,13054,8,CW,320.09400000000005,320.34805141797017,0.25405141797011765
58,2025-04-16 14:45:48,638,17454,13785,8917,12627,8,CW,325.83600000000007,325.995771662425,0.15977166242493013
59,2025-04-16 14:45:48,627,17365,14196,9007,12218,8,CW,331.47900000000004,331.5218579092682,0.04285790926815025
60,2025-04-16 14:45:48,636,17227,14605,9140,11807,8,CW,337.20300000000003,337.19798617638565,-0.0050138236143766335
61,2025-04-16 14:45:48,627,17054,14996,9311,11417,8,CW,342.846,342.80329001209475,-0.04270998790525482
62,2025-04-16 14:45:49,612,16844,15360,9519,11048,8,CW,348.354,348.3453587973152,-0.008641202684771088
63,2025-04-16 14:45:49,634,16595,15718,9768,10687,8,CW,354.06,354.09634631931635,0.03634631931635113
64,2025-04-16 14:45:50,630,16316,16048,10044,10355,8,CW,359.73,359.78149902865744,0.05149902865741751
0,2025-04-16 14:45:52,-14,16306,16055,10053,10344,8,CCW,359.60400000000004,359.95331524759354,0.34931524759349486
1,2025-04-16 14:45:53,-598,16579,15736,9782,10669,8,CCW,354.22200000000004,354.4040835133985,0.1820835133984815
2,2025-04-16 14:45:53,-636,16825,15379,9528,11025,8,CCW,348.49800000000005,348.6766949385881,0.17869493858808028
3,2025-04-16 14:45:53,-626,17042,15008,9319,11397,8,CCW,342.86400000000003,343.0492519158268,0.18525191582676825
4,2025-04-16 14:45:53,-604,17214,14627,9150,11779,8,CCW,337.42800000000005,337.5580408798416,0.13004087984154467
5,2025-04-16 14:45:54,-645,17355,14217,9014,12192,8,CCW,331.62300000000005,331.84857224745184,0.22557224745179383
6,2025-04-16 14:45:54,-628,17449,13805,8921,12604,8,CCW,325.97100000000006,326.2846690475598,0.3136690475597561
7,2025-04-16 14:45:54,-622,17502,13380,8868,13027,8,CCW,320.37300000000005,320.64512712876433,0.27212712876428213
8,2025-04-16 14:45:55,-633,17510,12967,8864,13444,8,CCW,314.67600000000004,315.14844970007096,0.4724497000709107
9,2025-04-16 14:45:55,-635,17476,12547,8905,13867,8,CCW,308.96100000000007,309.5201638514553,0.5591638514552528
10,2025-04-16 14:45:55,-630,17396,12135,8987,14275,8,CCW,303.29100000000005,303.9341518625922,0.6431518625921626
11,2025-04-16 14:45:56,-625,17274,11734,9107,14675,8,CCW,297.66600000000005,298.3140005564446,0.6480005564445719
12,2025-04-16 14:45:56,-600,17120,11357,9267,15055,8,CCW,292.2660000000001,292.7835295095805,0.5175295095804131
13,2025-04-16 14:45:56,-633,16923,10991,9465,15419,8,CCW,286.5690000000001,287.1569005085562,0.5879005085561175
14,2025-04-16 14:45:56,-635,16684,10631,9704,15774,8,CCW,280.8540000000001,281.30377959375244,0.4497795937523392
15,2025-04-16 14:45:57,-617,16422,10310,9972,16096,8,CCW,275.3010000000001,275.61777995790555,0.3167799579054531
16,2025-04-16 14:45:57,-638,16118,10004,10274,16398,8,CCW,269.5590000000001,269.75154419039416,0.19254419039407367
17,2025-04-16 14:45:57,-614,15799,9736,10592,16660,8,CCW,264.0330000000001,264.08999179769035,0.05699179769027296
18,2025-04-16 14:45:58,-624,15451,9499,10935,16894,8,CCW,258.4170000000001,258.385825974053,-0.031174025947109385
19,2025-04-16 14:45:58,-623,15084,9295,11301,17094,8,CCW,252.8100000000001,252.69369898163126,-0.11630101836883
20,2025-04-16 14:45:58,-609,14709,9134,11680,17252,8,CCW,247.3290000000001,247.14622544773223,-0.18277455226785833
21,2025-04-16 14:45:58,-628,14315,9007,12071,17373,8,CCW,241.6770000000001,241.5916066206417,-0.08539337935840763
22,2025-04-16 14:45:59,-613,13915,8923,12468,17452,8,CCW,236.1600000000001,236.1279428843802,-0.03205711561992075
23,2025-04-16 14:45:59,-629,13500,8877,12883,17491,8,CCW,230.4990000000001,230.54950479288496,0.05050479288485121
24,2025-04-16 14:45:59,-618,13086,8874,13291,17485,8,CCW,224.9370000000001,225.0776288588994,0.140628858899305
25,2025-04-16 14:46:00,-633,12670,8916,13707,17437,8,CCW,219.2400000000001,219.52750593493352,0.2875059349334208
26,2025-04-16 14:46:00,-619,12264,9001,14112,17351,8,CCW,213.6690000000001,214.04716263921955,0.3781626392194539
27,2025-04-16 14:46:00,-606,11867,9127,14507,17223,8,CCW,208.2150000000001,208.5607121321891,0.3457121321890213
28,2025-04-16 14:46:01,-614,11483,9289,14889,17056,8,CCW,202.68900000000008,203.0691983529373,0.3801983529372137
29,2025-04-16 14:46:01,-634,11105,9489,15263,16851,8,CCW,196.9830000000001,197.44873942227753,0.46573942227743714
30,2025-04-16 14:46:01,-627,10747,9733,15622,16604,8,CCW,191.3400000000001,191.73570405045564,0.39570405045554935
31,2025-04-16 14:46:01,-598,10420,9996,15944,16338,8,CCW,185.95800000000008,186.23078954471032,0.27278954471023553
32,2025-04-16 14:46:02,-646,10102,10306,16261,16028,8,CCW,180.1440000000001,180.39867284119362,0.25467284119352485
33,2025-04-16 14:46:02,-623,9819,10635,16543,15695,8,CCW,174.5370000000001,174.68349910281722,0.1464991028171312
34,2025-04-16 14:46:02,-627,9568,10991,16795,15339,8,CCW,168.8940000000001,168.9635670881671,0.06956708816701962
35,2025-04-16 14:46:03,-605,9353,11364,17008,14964,8,CCW,163.4490000000001,163.31171710977412,-0.1372828902259755
36,2025-04-16 14:46:03,-611,9178,11747,17182,14581,8,CCW,157.9500000000001,157.79223781399492,-0.15776218600518632
37,2025-04-16 14:46:03,-637,9038,12153,17321,14172,8,CCW,152.2170000000001,152.14072892629633,-0.07627107370376507
38,2025-04-16 14:46:03,-622,8941,12569,17420,13760,8,CCW,146.61900000000009,146.55233743797464,-0.06666256202544218
39,2025-04-16 14:46:04,-629,8888,12992,17472,13336,8,CCW,140.95800000000008,140.93245901457647,-0.025540985423617713
40,2025-04-16 14:46:04,-616,8880,13407,17485,12918,8,CCW,135.41400000000007,135.42875375485767,0.014753754857594004
41,2025-04-16 14:46:04,-633,8915,13831,17451,12500,8,CCW,129.71700000000007,129.82622557518766,0.1092255751875939
42,2025-04-16 14:46:05,-626,8994,14245,17373,12088,8,CCW,124.08300000000007,124.22385079422656,0.1408507942264947
43,2025-04-16 14:46:05,-622,9111,14644,17255,11689,8,CCW,118.48500000000007,118.6539409076791,0.1689409076790298
44,2025-04-16 14:46:05,-609,9268,15023,17102,11312,8,CCW,113.00400000000008,113.1570115101639,0.15301151016382164
45,2025-04-16 14:46:06,-626,9465,15397,16905,10944,8,CCW,107.37000000000008,107.47903242976952,0.10903242976944227
46,2025-04-16 14:46:06,-634,9701,15749,16667,10591,8,CCW,101.66400000000007,101.71304866850085,0.04904866850077383
47,2025-04-16 14:46:06,-623,9966,16075,16402,10274,8,CCW,96.05700000000007,96.03752413932176,-0.01947586067831253
48,2025-04-16 14:46:06,-638,10267,16381,16101,9968,8,CCW,90.31500000000007,90.17903673585579,-0.13596326414428006
49,2025-04-16 14:46:07,-620,10586,16647,15780,9703,8,CCW,84.73500000000007,84.50195060851564,-0.23304939148442827
50,2025-04-16 14:46:07,-631,10938,16887,15432,9467,8,CCW,79.05600000000007,78.7275688215189,-0.32843117848116776
51,2025-04-16 14:46:07,-630,11303,17086,15066,9271,8,CCW,73.38600000000007,73.07015875169179,-0.3158412483082742
52,2025-04-16 14:46:08,-618,11678,17254,14686,9113,8,CCW,67.82400000000007,67.48751503232603,-0.3364849676740391
53,2025-04-16 14:46:08,-629,12070,17376,14291,8991,8,CCW,62.16300000000007,61.915309423762324,-0.24769057623774415
54,2025-04-16 14:46:08,-621,12472,17457,13889,8907,8,CCW,56.57400000000007,56.38609676965564,-0.1879032303444319
55,2025-04-16 14:46:08,-635,12885,17502,13473,8867,8,CCW,50.859000000000066,50.79522560844168,-0.0637743915583826
56,2025-04-16 14:46:09,-629,13299,17501,13058,8872,8,CCW,45.198000000000064,45.25544823697999,0.05744823697992274
57,2025-04-16 14:46:09,-640,13716,17460,12637,8917,8,CCW,39.438000000000066,39.644514272695176,0.20651427269510947
58,2025-04-16 14:46:09,-623,14121,17373,12231,9005,8,CCW,33.83100000000007,34.13616490428706,0.3051649042869897
59,2025-04-16 14:46:10,-628,14520,17247,11829,9136,8,CCW,28.179000000000066,28.561277334202373,0.3822773342023069
60,2025-04-16 14:46:10,-606,14907,17085,11447,9298,8,CCW,22.725000000000065,23.039073396127776,0.3140733961277107
61,2025-04-16 14:46:10,-645,15282,16879,11067,9508,8,CCW,16.920000000000066,17.343047869293628,0.423047869293562
62,2025-04-16 14:46:11,-636,15642,16640,10708,9755,8,CCW,11.196000000000065,11.610910403531363,0.41491040353129804
63,2025-04-16 14:46:11,-616,15974,16374,10379,10025,8,CCW,5.652000000000066,5.994250195296786,0.34225019529672007
64,2025-04-16 14:46:12,-639,16289,16062,10061,10333,8,CCW,-0.09899999999993359,0.15196455999426917,0.25096455999420275
0,2025-04-16 14:46:16,-14,16311,16049,10049,10351,9,CW,-0.126,-0.2135413541783464,-0.08754135417834641
1,2025-04-16 14:46:17,598,16008,16347,10350,10052,9,CW,5.255999999999999,5.383312630230819,0.1273126302308194
2,2025-04-16 14:46:17,620,15678,16614,10680,9780,9,CW,10.835999999999999,11.007137802878503,0.17113780287850489
3,2025-04-16 14:46:17,641,15317,16867,11042,9528,9,CW,16.604999999999997,16.830116532404247,0.22511653240425034
4,2025-04-16 14:46:18,629,14943,17072,11416,9320,9,CW,22.266,22.476438902413292,0.21043890241329422
5,2025-04-16 14:46:18,632,14551,17239,11805,9147,9,CW,27.953999999999997,28.11256423378086,0.15856423378086149
6,2025-04-16 14:46:18,622,14155,17368,12203,9014,9,CW,33.552,33.65178759737955,0.099787597379553
7,2025-04-16 14:46:19,621,13750,17458,12612,8925,9,CW,39.141,39.185043466755474,0.044043466755475436
8,2025-04-16 14:46:19,634,13338,17505,13026,8876,9,CW,44.846999999999994,44.72099151822408,-0.12600848177591217
9,2025-04-16 14:46:19,628,12925,17507,13440,8865,9,CW,50.498999999999995,50.24460951819697,-0.2543904818030285
10,2025-04-16 14:46:19,633,12511,17467,13855,8906,9,CW,56.196,55.83095785900127,-0.36504214099872456
11,2025-04-16 14:46:20,625,12107,17389,14263,8983,9,CW,61.821,61.39715541255674,-0.4238445874432557
12,2025-04-16 14:46:20,636,11708,17266,14662,9101,9,CW,67.545,67.03125596920461,-0.5137440307953938
13,2025-04-16 14:46:20,627,11326,17106,15047,9260,9,CW,73.188,72.66557019725053,-0.5224298027494712
14,2025-04-16 14:46:21,626,10959,16906,15412,9458,9,CW,78.822,78.33475622123058,-0.48724377876942526
15,2025-04-16 14:46:21,618,10620,16673,15751,9683,9,CW,84.384,83.91540447152539,-0.4685955284746086
16,2025-04-16 14:46:21,622,10294,16407,16075,9941,9,CW,89.982,89.61450464437968,-0.36749535562032065
17,2025-04-16 14:46:21,637,9991,16108,16381,10245,9,CW,95.715,95.4604078910744,-0.2545921089256069
18,2025-04-16 14:46:22,621,9726,15786,16648,10564,9,CW,101.304,101.13229337018532,-0.171706629814679
19,2025-04-16 14:46:22,642,9482,15428,16886,10919,9,CW,107.08200000000001,106.97526631957453,-0.10673368042547793
20,2025-04-16 14:46:22,618,9286,15060,17087,11281,9,CW,112.644,112.59398572692976,-0.05001427307024642
21,2025-04-16 14:46:23,626,9122,14673,17250,11664,9,CW,118.278,118.22282018221529,-0.05517981778471892
22,2025-04-16 14:46:23,623,9001,14271,17372,12063,9,CW,123.885,123.8260785154418,-0.058921484558212
23,2025-04-16 14:46:23,620,8921,13862,17452,12471,9,CW,129.465,129.3716318726319,-0.09336812736810884
24,2025-04-16 14:46:24,623,8883,13443,17485,12886,9,CW,135.072,134.92172466506372,-0.15027533493628198
25,2025-04-16 14:46:24,620,8889,13026,17480,13305,9,CW,140.65200000000002,140.44446958145716,-0.20753041854285925
26,2025-04-16 14:46:24,631,8938,12603,17427,13729,9,CW,146.33100000000002,146.06070117453686,-0.27029882546315775
27,2025-04-16 14:46:24,623,9031,12190,17338,14143,9,CW,151.93800000000002,151.622035296994,-0.3159647030060171
28,2025-04-16 14:46:25,632,9168,11780,17199,14553,9,CW,157.626,157.29407634157064,-0.33192365842936056
29,2025-04-16 14:46:25,616,9341,11392,17024,14941,9,CW,163.17000000000002,162.86762830538464,-0.30237169461537405
30,2025-04-16 14:46:25,617,9554,11017,16814,15315,9,CW,168.723,168.5063778128548,-0.2166221871452194
31,2025-04-16 14:46:26,619,9800,10664,16573,15669,9,CW,174.294,174.1361612601778,-0.15783873982221053
32,2025-04-16 14:46:26,622,10080,10332,16290,16005,9,CW,179.89200000000002,179.86820023503537,-0.023799764964650194
33,2025-04-16 14:46:26,628,10392,10027,15980,16314,9,CW,185.544,185.60843464619575,0.06443464619573547
34,2025-04-16 14:46:26,612,10720,9754,15654,16589,9,CW,191.05200000000002,191.21405209629052,0.16205209629049477
35,2025-04-16 14:46:27,632,11082,9509,15292,16837,9,CW,196.74,196.97177728916063,0.23177728916061824
36,2025-04-16 14:46:27,621,11455,9303,14921,17045,9,CW,202.329,202.57200851585344,0.24300851585343253
37,2025-04-16 14:46:27,627,11846,9137,14534,17218,9,CW,207.972,208.15985333813194,0.18785333813193006
38,2025-04-16 14:46:28,612,12239,9012,14144,17346,9,CW,213.48000000000002,213.58744174602725,0.10744174602723433
39,2025-04-16 14:46:28,615,12641,8924,13742,17435,9,CW,219.01500000000001,219.029968678635,0.014968678634971866
40,2025-04-16 14:46:28,622,13056,8879,13330,17487,9,CW,224.61300000000003,224.55075202632997,-0.06224797367005408
41,2025-04-16 14:46:29,623,13468,8877,12917,17495,9,CW,230.22000000000003,230.04122620295288,-0.17877379704714258
42,2025-04-16 14:46:29,629,13886,8916,12506,17461,9,CW,235.88100000000003,235.60144498637146,-0.27955501362856694
43,2025-04-16 14:46:29,613,14285,8999,12109,17384,9,CW,241.39800000000002,241.0511581090313,-0.34684189096873297
44,2025-04-16 14:46:29,631,14685,9124,11709,17265,9,CW,247.07700000000003,246.6919340322088,-0.3850659677912347
45,2025-04-16 14:46:30,622,15066,9287,11326,17107,9,CW,252.67500000000004,252.30552954496932,-0.3694704550307222
46,2025-04-16 14:46:30,618,15431,9486,10965,16912,9,CW,258.237,257.92281384169286,-0.3141861583071659
47,2025-04-16 14:46:30,612,15771,9714,10623,16685,9,CW,263.745,263.5141007309002,-0.23089926909977976
48,2025-04-16 14:46:31,623,16098,9983,10300,16423,9,CW,269.352,269.24722434011943,-0.10477565988054494
49,2025-04-16 14:46:31,631,16402,10285,9994,16125,9,CW,275.03099999999995,275.0924949260436,0.06149492604367879
50,2025-04-16 14:46:31,618,16666,10606,9726,15806,9,CW,280.59299999999996,280.7704879551567,0.177487955156721
51,2025-04-16 14:46:31,636,16911,10964,9482,15452,9,CW,286.31699999999995,286.6477765205184,0.330776520518441
